Parameters,FID
dropout=0.25 bn_momentum=0.7 adam_lr=0.0002 adam_beta=0.5,187.83437
dropout=0.25 bn_momentum=0.75 adam_lr=0.0002 adam_beta=0.5,173.23257
dropout=0.25 bn_momentum=0.8 adam_lr=0.0001 adam_beta=0.5,184.46074
dropout=0.25 bn_momentum=0.8 adam_lr=0.00015 adam_beta=0.5,189.30983
dropout=0.25 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.4,186.81825
dropout=0.25 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.45,176.2785
dropout=0.25 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.5,192.77357
dropout=0.25 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.55,190.33571
dropout=0.25 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.6,217.351
dropout=0.25 bn_momentum=0.8 adam_lr=0.00025 adam_beta=0.5,201.40526
dropout=0.25 bn_momentum=0.8 adam_lr=0.0003 adam_beta=0.5,222.06734
dropout=0.25 bn_momentum=0.82 adam_lr=0.0002 adam_beta=0.5,156.22472
dropout=0.27 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.5,205.93414
dropout=0.3 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.5,144.54259
dropout=0.33 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.5,164.24344
dropout=0.36 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.5,161.72134
dropout=0.39 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.5,161.20595
dropout=0.42 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.5,117.77199
dropout=0.45 bn_momentum=0.8 adam_lr=0.0002 adam_beta=0.5,110.26792
